,log_dir,frame_per_second,episode_reward,total_steps,total_episodes,total_time,actor_loss,critic_loss,target_q,success_rate
0,MetaDrive-Tut-Easy-v0,850,2.583034755865085,1004,5,1.180058479309082,,0.007964851334691048,0.014211303554475307,0.0
1,MetaDrive-Tut-Easy-v0,115,-1.4931384294849008,2021,43,17.42754030227661,0.04354146122932434,0.7799346446990967,-0.005710676312446594,0.0
2,MetaDrive-Tut-Easy-v0,95,-1.6331180217920567,3017,62,31.5621919631958,-0.19035769999027252,1.1322073936462402,-0.05575961992144585,0.0
3,MetaDrive-Tut-Easy-v0,88,-1.5704424237123498,4034,68,45.52391338348389,,0.1358254849910736,0.06223190575838089,0.0
4,MetaDrive-Tut-Easy-v0,84,-1.7881468601927664,5016,96,59.546305894851685,,0.7673962116241455,0.0210140161216259,0.0
5,MetaDrive-Tut-Easy-v0,81,-2.34325819876554,6027,125,74.02772927284241,0.016908183693885803,0.14001336693763733,-0.047867365181446075,0.0
6,MetaDrive-Tut-Easy-v0,79,-2.1531726948152823,7004,153,88.03887581825256,,0.05925934761762619,-0.17835569381713867,0.0
7,MetaDrive-Tut-Easy-v0,78,-2.1631935169203764,8055,164,102.83717107772827,0.17642265558242798,0.03963106498122215,-0.269022136926651,0.0
8,MetaDrive-Tut-Easy-v0,77,-2.382252362563348,9034,170,116.4583990573883,,0.052918896079063416,-0.3837023973464966,0.0
9,MetaDrive-Tut-Easy-v0,76,-2.468965803246144,10103,176,132.30176091194153,-0.3402114510536194,0.009923070669174194,0.24642042815685272,0.0
10,MetaDrive-Tut-Easy-v0,75,-2.383866491373135,11108,181,146.27941036224365,,0.04268943518400192,-0.0941917821764946,0.0
11,MetaDrive-Tut-Easy-v0,75,-2.300592699500494,12113,186,160.07860946655273,0.20361359417438507,0.02081773430109024,-0.2609376609325409,0.0
12,MetaDrive-Tut-Easy-v0,75,-2.1277628042167653,13074,192,173.22277569770813,,0.03845774009823799,-0.5683128833770752,0.0
13,MetaDrive-Tut-Easy-v0,75,-1.613409930753566,14056,202,186.88312220573425,,0.012350473552942276,0.06560598313808441,0.0
14,MetaDrive-Tut-Easy-v0,74,-0.7425444819167116,15005,211,200.30852270126343,0.19704434275627136,0.025162475183606148,-0.31381165981292725,0.0
15,MetaDrive-Tut-Easy-v0,74,0.04851015040793983,16007,219,214.32927417755127,-0.15654680132865906,0.021865874528884888,0.11087602376937866,0.0
16,MetaDrive-Tut-Easy-v0,74,1.6283777568278293,17047,230,229.0938754081726,-0.1010308489203453,0.015359971672296524,0.08257127553224564,0.0
17,MetaDrive-Tut-Easy-v0,74,2.770688557599754,18078,236,243.6915156841278,,0.04007982835173607,0.4475294351577759,0.0
18,MetaDrive-Tut-Easy-v0,74,4.281122398870787,19076,244,257.735497713089,,0.0354279987514019,0.3230721950531006,0.0
19,MetaDrive-Tut-Easy-v0,73,5.933143553674062,20099,252,273.31209444999695,-0.46286478638648987,0.024483412504196167,0.41093891859054565,0.0
20,MetaDrive-Tut-Easy-v0,73,8.15408897453939,21108,265,287.6225483417511,,0.05610379949212074,0.9817061424255371,0.0
21,MetaDrive-Tut-Easy-v0,73,9.944959354375568,22094,275,301.3955111503601,,0.04007430002093315,1.0250331163406372,0.0
22,MetaDrive-Tut-Easy-v0,73,11.350061729555142,23011,282,314.2859561443329,-1.3002277612686157,0.02796347066760063,1.2177566289901733,0.0
23,MetaDrive-Tut-Easy-v0,73,12.858623096197913,24146,293,330.4407958984375,,1.193009376525879,1.6051501035690308,0.0
24,MetaDrive-Tut-Easy-v0,73,14.307674209259183,25034,298,342.80870366096497,,0.490375816822052,1.618945837020874,0.0
25,MetaDrive-Tut-Easy-v0,72,15.88457246706801,26068,307,357.5313489437103,,0.047174956649541855,1.8080087900161743,0.0
26,MetaDrive-Tut-Easy-v0,72,16.828015329144705,27162,315,373.14295721054077,,0.12265753746032715,2.434800624847412,0.0
27,MetaDrive-Tut-Easy-v0,72,18.09425276082147,28004,322,385.1070740222931,,0.1635850965976715,2.639143466949463,0.0
28,MetaDrive-Tut-Easy-v0,72,19.734953940485017,29038,329,399.57731223106384,,0.0945991575717926,2.569547653198242,0.0
29,MetaDrive-Tut-Easy-v0,72,20.420485848201867,30156,337,416.3882269859314,,0.08974921703338623,3.1875696182250977,0.0
30,MetaDrive-Tut-Easy-v0,72,21.668308894386914,31054,342,428.96741938591003,,0.09452097862958908,3.355358839035034,0.0
31,MetaDrive-Tut-Easy-v0,72,22.700461562683742,32117,351,443.77445340156555,-3.3865761756896973,0.11768466234207153,3.405548334121704,0.0
32,MetaDrive-Tut-Easy-v0,72,24.648061156235546,33182,357,458.9197750091553,,0.8521237373352051,3.626492977142334,0.0
33,MetaDrive-Tut-Easy-v0,72,27.102386916506234,34152,362,472.52735805511475,,0.15253356099128723,4.642251014709473,0.0
34,MetaDrive-Tut-Easy-v0,72,28.829147289345077,35179,368,487.0368883609772,-4.52745246887207,1.0049917697906494,4.487204551696777,0.0
35,MetaDrive-Tut-Easy-v0,72,30.349778940796572,36013,373,498.69579315185547,-5.1511759757995605,0.25846096873283386,5.145421504974365,0.0
36,MetaDrive-Tut-Easy-v0,72,32.04420927961388,37104,379,513.8848733901978,,2.8394486904144287,5.009641170501709,0.0
