,log_dir,frame_per_second,episode_reward,total_steps,total_episodes,total_time,target_q,actor_loss,critic_loss,success_rate
0,MetaDrive-Tut-100Env-v0,671,11.785428384865066,2001,2,2.980483293533325,,,,0.0
1,MetaDrive-Tut-100Env-v0,622,11.750579045846417,3002,3,4.820432186126709,,,,0.0
2,MetaDrive-Tut-100Env-v0,561,11.076722482459385,4003,4,7.128253221511841,,,,0.0
3,MetaDrive-Tut-100Env-v0,564,11.32018710680509,5004,5,8.869393110275269,,,,0.0
4,MetaDrive-Tut-100Env-v0,545,9.443388595836547,6694,7,12.270512342453003,,,,0.0
5,MetaDrive-Tut-100Env-v0,554,9.810344872609805,7695,8,13.883007764816284,,,,0.0
6,MetaDrive-Tut-100Env-v0,542,9.74134998270691,8696,9,16.03255033493042,,,,0.0
7,MetaDrive-Tut-100Env-v0,556,8.756084999439905,9909,11,17.805057048797607,,,,0.0
8,MetaDrive-Tut-100Env-v0,539,8.339218254988346,10053,12,18.643959999084473,0.013459108769893646,-0.03382003307342529,0.0015844856388866901,0.0
9,MetaDrive-Tut-100Env-v0,300,0.41390338139601984,11982,49,39.91772508621216,0.04278940707445145,,0.003477017395198345,0.0
10,MetaDrive-Tut-100Env-v0,296,0.30681974961111613,12061,50,40.68267059326172,0.048832155764102936,-0.051977165043354034,0.011013105511665344,0.0
11,MetaDrive-Tut-100Env-v0,272,0.3747913839884613,13062,51,47.87002778053284,-0.019640635699033737,,0.5310288667678833,0.0
12,MetaDrive-Tut-100Env-v0,247,0.22238908323433526,14457,54,58.52162146568298,0.021620914340019226,-0.06081443279981613,0.009569268673658371,0.0
13,MetaDrive-Tut-100Env-v0,239,0.10822043140796338,15312,55,63.978925466537476,0.02145368978381157,,0.013574039563536644,0.0
14,MetaDrive-Tut-100Env-v0,226,0.07709161498285785,16458,57,72.53322649002075,-0.003018969437107444,,0.008038229309022427,0.0
15,MetaDrive-Tut-100Env-v0,221,0.035640623155311336,17459,58,78.76014995574951,-0.002637290395796299,0.004793661646544933,0.004226294811815023,0.0
16,MetaDrive-Tut-100Env-v0,214,0.09631205971577644,18460,59,86.08606147766113,-0.015105901286005974,,0.004492852371186018,0.0
17,MetaDrive-Tut-100Env-v0,209,0.15828626159632328,19461,60,92.82409977912903,-0.03265517204999924,0.031246881932020187,0.009061112999916077,0.0
18,MetaDrive-Tut-100Env-v0,204,0.11783682871233739,20462,61,99.91127562522888,-0.051682308316230774,,0.009560619480907917,0.0
19,MetaDrive-Tut-100Env-v0,200,0.17709874749732085,21463,62,106.7951431274414,-0.06902231276035309,0.09516221284866333,0.047606632113456726,0.0
20,MetaDrive-Tut-100Env-v0,196,0.1391999785048461,22750,64,115.5155508518219,-0.08186955749988556,,0.2030618041753769,0.0
21,MetaDrive-Tut-100Env-v0,193,0.024752840789720915,23829,66,123.26678538322449,-0.07012472301721573,0.11396743357181549,0.0026566744782030582,0.0
22,MetaDrive-Tut-100Env-v0,189,0.006778345831547709,24908,68,131.45465326309204,-0.08231152594089508,,0.002166613470762968,0.0
23,MetaDrive-Tut-100Env-v0,187,-0.010467912605095877,25993,70,138.5927131175995,-0.12113812565803528,0.12413135170936584,0.04462100565433502,0.0
24,MetaDrive-Tut-100Env-v0,185,-0.06953451978712817,26857,71,144.5853147506714,-0.10563456267118454,0.09158962965011597,0.021953873336315155,0.0
25,MetaDrive-Tut-100Env-v0,183,-0.08464070508535011,27950,73,152.2497148513794,-0.09551540017127991,,0.004311686381697655,0.0
26,MetaDrive-Tut-100Env-v0,182,-0.0372291215506207,28951,74,158.6808521747589,-0.14850568771362305,0.14631307125091553,0.2790262997150421,0.0
27,MetaDrive-Tut-100Env-v0,180,0.01374486458880984,29952,75,165.52552914619446,-0.11197420954704285,,0.0029838737100362778,0.0
28,MetaDrive-Tut-100Env-v0,179,0.1762140624031341,30840,76,171.75043439865112,-0.10657982528209686,,0.005131763406097889,0.0
29,MetaDrive-Tut-100Env-v0,178,0.06223970020853976,31011,82,173.54167771339417,-0.1163969561457634,0.08825056254863739,0.1087234616279602,0.0
30,MetaDrive-Tut-100Env-v0,175,-0.1413819871678686,32002,107,182.7834436893463,-0.09333264827728271,,0.18911269307136536,0.0
31,MetaDrive-Tut-100Env-v0,172,0.5550945086529409,33009,130,191.0414056777954,0.006121467798948288,-0.03616621345281601,0.008864432573318481,0.0
32,MetaDrive-Tut-100Env-v0,171,1.839133150142266,34004,150,198.67695546150208,0.08986781537532806,,0.018966123461723328,0.0
33,MetaDrive-Tut-100Env-v0,168,2.144603762544126,35352,155,209.2946708202362,0.23935359716415405,,0.014752866700291634,0.0
34,MetaDrive-Tut-100Env-v0,167,4.098375976377642,36095,161,215.63133931159973,0.30392158031463623,-0.4043770730495453,0.10100385546684265,0.0
35,MetaDrive-Tut-100Env-v0,165,7.556953375739905,37049,172,223.53451538085938,0.46776866912841797,-0.5802965760231018,0.016219226643443108,0.0
36,MetaDrive-Tut-100Env-v0,164,9.891102247531014,38015,189,231.72123551368713,0.6979848742485046,-0.8800241947174072,0.04110880196094513,0.0
37,MetaDrive-Tut-100Env-v0,162,13.447527054640831,39010,203,239.98408722877502,1.0719093084335327,,0.07697821408510208,0.0
38,MetaDrive-Tut-100Env-v0,161,20.494530133338486,40251,213,249.937566280365,1.447935938835144,-1.6399593353271484,0.06074437499046326,0.01
39,MetaDrive-Tut-100Env-v0,159,26.34683724607116,41173,219,257.78625679016113,1.8384666442871094,-2.021150588989258,0.5345675945281982,0.01
40,MetaDrive-Tut-100Env-v0,157,32.39569879866813,42084,223,267.2019693851471,2.304419755935669,,0.7153159379959106,0.01
41,MetaDrive-Tut-100Env-v0,156,40.31918618017957,43110,225,275.3388831615448,3.035423755645752,,0.6014947891235352,0.03
42,MetaDrive-Tut-100Env-v0,154,48.78502485498864,44208,229,285.22379088401794,3.960139274597168,,0.26697301864624023,0.04
43,MetaDrive-Tut-100Env-v0,153,57.4540562915219,45241,232,294.4378650188446,4.369009971618652,-4.598711013793945,0.1174338161945343,0.06
44,MetaDrive-Tut-100Env-v0,151,66.33792382550828,46338,235,305.3086361885071,4.895535469055176,,1.5746407508850098,0.08
45,MetaDrive-Tut-100Env-v0,150,72.4598083927218,47102,237,312.3624601364136,5.275189399719238,,0.7190613746643066,0.09
46,MetaDrive-Tut-100Env-v0,149,79.11809142183515,48128,240,321.7011089324951,6.164982795715332,,0.2878603935241699,0.09
47,MetaDrive-Tut-100Env-v0,148,86.32752567512036,49197,245,331.0194888114929,7.272302150726318,-7.421616554260254,0.2913706600666046,0.1
48,MetaDrive-Tut-100Env-v0,147,92.65063021453038,50030,249,338.30781078338623,7.776324272155762,,2.1668708324432373,0.1
49,MetaDrive-Tut-100Env-v0,146,100.83069549815451,51103,253,347.8921527862549,8.658576011657715,-9.049846649169922,3.9216971397399902,0.11
50,MetaDrive-Tut-100Env-v0,145,109.32501596989461,52399,257,360.33333444595337,9.804946899414062,-9.943672180175781,0.8599408864974976,0.11
51,MetaDrive-Tut-100Env-v0,144,113.08997867637324,53056,261,366.8495194911957,10.211160659790039,,0.6687182188034058,0.11
52,MetaDrive-Tut-100Env-v0,143,119.60057357835922,54025,265,375.80682611465454,11.241181373596191,-11.415111541748047,1.5353180170059204,0.11
53,MetaDrive-Tut-100Env-v0,142,129.81340767593534,55338,270,387.81217432022095,11.841646194458008,,1.1363203525543213,0.11
54,MetaDrive-Tut-100Env-v0,141,137.24776825495388,56162,273,395.98859548568726,12.214899063110352,,1.6134541034698486,0.12
55,MetaDrive-Tut-100Env-v0,141,144.100913813123,57130,277,405.0153720378876,12.805513381958008,,1.0247581005096436,0.12
56,MetaDrive-Tut-100Env-v0,140,149.8907065879436,58023,284,412.1340925693512,13.997335433959961,-14.441234588623047,1.2621078491210938,0.12
57,MetaDrive-Tut-100Env-v0,140,157.44812987335,59050,290,420.95503783226013,14.38014030456543,,4.169674396514893,0.12
58,MetaDrive-Tut-100Env-v0,139,166.07904504574148,60090,296,429.21695590019226,15.078902244567871,,1.2606818675994873,0.12
59,MetaDrive-Tut-100Env-v0,139,172.7542114639391,61064,301,436.93169498443604,18.29966926574707,,1.6147708892822266,0.12
60,MetaDrive-Tut-100Env-v0,139,179.3396301902927,62114,304,446.3505096435547,17.435457229614258,,5.784679889678955,0.13
61,MetaDrive-Tut-100Env-v0,138,183.75916056622592,63019,309,454.51148414611816,17.955278396606445,-18.044620513916016,4.332990646362305,0.13
62,MetaDrive-Tut-100Env-v0,138,189.95080127292604,64358,314,465.323689699173,18.342676162719727,,3.1049888134002686,0.15
63,MetaDrive-Tut-100Env-v0,137,193.64932649992815,65146,318,472.19367575645447,19.224245071411133,,7.679387092590332,0.15
64,MetaDrive-Tut-100Env-v0,137,193.39157617580696,66002,322,479.73067140579224,20.179353713989258,,6.568854331970215,0.15
65,MetaDrive-Tut-100Env-v0,137,190.04561850692815,67252,327,489.5718641281128,22.281085968017578,,5.886397361755371,0.15
66,MetaDrive-Tut-100Env-v0,137,186.2551245538112,68040,331,495.57310581207275,21.549089431762695,,2.326406955718994,0.14
67,MetaDrive-Tut-100Env-v0,137,185.25502608509083,69004,334,503.5191135406494,23.21010398864746,,9.36837387084961,0.14
68,MetaDrive-Tut-100Env-v0,135,183.67326694454786,70494,339,518.757401227951,24.190942764282227,,10.14222240447998,0.14
69,MetaDrive-Tut-100Env-v0,135,187.25640908056238,71261,341,525.039350271225,24.15125274658203,-24.551597595214844,6.067883491516113,0.16
70,MetaDrive-Tut-100Env-v0,135,187.13030532733367,72079,345,531.5228424072266,24.986709594726562,-25.499177932739258,5.4148383140563965,0.16
71,MetaDrive-Tut-100Env-v0,135,189.10301027451067,73071,349,539.7941062450409,26.38602638244629,-27.08740234375,4.516218662261963,0.17
72,MetaDrive-Tut-100Env-v0,135,184.54089473622534,74098,355,548.385419845581,27.344650268554688,,8.707027435302734,0.17
73,MetaDrive-Tut-100Env-v0,134,186.24657606375706,75030,358,556.7913763523102,28.088333129882812,,4.269407749176025,0.19
74,MetaDrive-Tut-100Env-v0,133,191.08519207991714,76415,362,570.8061282634735,29.274229049682617,-30.097131729125977,3.855666160583496,0.21
75,MetaDrive-Tut-100Env-v0,133,190.98807900058216,77082,365,576.0334103107452,29.573543548583984,,6.331817626953125,0.22
76,MetaDrive-Tut-100Env-v0,133,191.91974009695025,78179,369,585.8254683017731,30.241430282592773,-30.652061462402344,16.585269927978516,0.24
77,MetaDrive-Tut-100Env-v0,133,187.3492577576165,79401,374,596.654470205307,30.88567352294922,-31.698177337646484,14.149438858032227,0.25
78,MetaDrive-Tut-100Env-v0,133,191.18599651045145,80254,376,603.3408250808716,31.44402313232422,,8.911811828613281,0.26
79,MetaDrive-Tut-100Env-v0,132,192.5179930824511,81148,381,610.5484857559204,30.76034927368164,,19.01199722290039,0.27
80,MetaDrive-Tut-100Env-v0,132,197.4758659778341,82136,384,619.5831232070923,32.417869567871094,,6.319039344787598,0.29
81,MetaDrive-Tut-100Env-v0,132,200.9144636722865,83336,388,630.2885098457336,33.28288269042969,,3.9364709854125977,0.32
82,MetaDrive-Tut-100Env-v0,132,204.58953523934417,84378,392,639.0186715126038,31.54708480834961,,3.5890145301818848,0.34
83,MetaDrive-Tut-100Env-v0,131,208.42172404220764,85236,394,645.8194463253021,33.043983459472656,,3.369986057281494,0.36
84,MetaDrive-Tut-100Env-v0,131,208.85219257136725,86072,397,653.296149969101,34.11576843261719,,40.14112091064453,0.37
85,MetaDrive-Tut-100Env-v0,131,211.76570260114306,87260,400,663.7241427898407,33.665279388427734,,9.798887252807617,0.39
86,MetaDrive-Tut-100Env-v0,131,214.9696581957215,88236,402,672.4450268745422,34.90144348144531,,12.695211410522461,0.4
87,MetaDrive-Tut-100Env-v0,131,216.48319851143955,89479,405,682.8732249736786,34.795982360839844,-35.52503204345703,5.255097389221191,0.42
88,MetaDrive-Tut-100Env-v0,130,219.9197123142332,90168,406,689.5532274246216,34.40660095214844,,16.86487579345703,0.43
89,MetaDrive-Tut-100Env-v0,130,224.91081596727486,91085,408,697.7332022190094,34.59173583984375,-34.96533966064453,10.31209945678711,0.45
90,MetaDrive-Tut-100Env-v0,130,223.12845556027474,92032,413,706.2022624015808,35.666603088378906,,4.9768524169921875,0.44
91,MetaDrive-Tut-100Env-v0,130,227.26830717162386,93089,415,715.8581490516663,37.12851333618164,-38.766876220703125,18.31494903564453,0.45
92,MetaDrive-Tut-100Env-v0,129,230.30293134085616,94436,419,727.1735570430756,38.089019775390625,,4.275411605834961,0.47
93,MetaDrive-Tut-100Env-v0,129,234.0023320365333,95596,422,737.5922336578369,36.68646240234375,,9.392218589782715,0.49
