,log_dir,frame_per_second,episode_reward,policy_loss,entropy,discriminator_loss,gail_reward,total_loss,grad_norm,adv_mean,ratio,total_steps,total_episodes,iteration,total_time,success_rate
0,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-1Env-v0/gail,506,8.319767851497428,-0.024137654957863002,2.7622522256313227,0.5103817692360817,0.020963437862407702,-0.024137654957863002,1.4512058204565292,,0.9999071364219372,20000,17,0,39.4561972618103,0.0
1,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-1Env-v0/gail,482,12.443583139464796,-0.017567607303126117,2.6649261019168757,0.07875205729729855,0.01559987395691375,-0.017567607303126117,0.3077596003428484,,0.9986607369704125,40000,45,1,82.83145785331726,0.0
2,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-1Env-v0/gail,465,13.596810562863725,-0.012648777541919396,2.567884002893399,0.06340737371490551,0.01144637303868643,-0.012648777541919396,1.0507093009276267,,0.9978153557349474,60000,85,2,128.92121195793152,0.0
3,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-1Env-v0/gail,453,16.360214163563235,-0.015978598179152377,2.410422601760962,0.08851458272920587,0.014654567311159694,-0.015978598179152377,0.7196331284749202,,1.0021894370134061,80000,141,3,176.39368200302124,0.0
4,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-1Env-v0/gail,436,19.261082769974333,-0.015769956099729126,2.234093512632908,0.06380444740972076,0.014353151860623024,-0.015769956099729126,0.6031632567063356,,1.0011171977489421,100000,229,4,229.11277770996094,0.0
5,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-1Env-v0/gail,422,21.91760749155766,-0.04823342832044149,2.0344384896449554,0.059812698950274634,0.04425238221644973,-0.04823342832044149,0.3613913060762943,,1.0004666367402444,120000,333,5,283.85363602638245,0.0
6,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-1Env-v0/gail,409,25.217106760810385,-0.03459776383705246,1.803840449681649,0.06912137943869218,0.03179439146023912,-0.03459776383705246,1.2310129246650598,,1.0016858945290248,140000,467,6,342.17634987831116,0.0
7,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-1Env-v0/gail,397,24.88032236661979,-0.014196881223231171,1.6147628056697356,0.07916075617839129,0.013170049824298192,-0.014196881223231171,1.6698447092985496,,0.9989636512903067,160000,621,7,402.9403953552246,0.0
8,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-1Env-v0/gail,385,32.42215969116824,-0.021139986439345358,1.426593809402906,0.09531506327673411,0.019993142916176182,-0.021139986439345358,1.8179935307074815,,0.9984817193868832,180000,796,8,466.43705534935,0.0
9,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-1Env-v0/gail,373,24.058679811009906,-0.014896117483910459,1.2922127818449949,0.11193577398856482,0.014243750923719161,-0.014896117483910459,2.2690210110101945,,0.9993025065996708,200000,1016,9,534.8847377300262,0.0
10,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-1Env-v0/gail,364,32.84534548182608,-0.0127410706717712,1.1507732429565527,0.1477312786074785,0.012402771458698388,-0.0127410706717712,1.0313461823341175,,0.9997090941056227,220000,1253,10,603.7711145877838,0.0
11,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-1Env-v0/gail,353,25.984088851974104,-0.0642930599836967,0.9642163353088574,0.19035633997275278,0.0629206750732966,-0.0642930599836967,4.059092607253637,,0.9990259340940377,240000,1534,11,678.3079376220703,0.0
12,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-1Env-v0/gail,345,32.82221884265142,-0.05556781048862598,0.8156801323095958,0.2137183529921831,0.05525157878605219,-0.05556781048862598,1.6129122686691773,,1.0003943120057766,260000,1805,12,751.5130388736725,0.0
13,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-1Env-v0/gail,340,39.26446278682615,-0.06472488400550225,0.7066589039869797,0.2395267725850527,0.06439887423736927,-0.06472488400550225,1.5590012455597901,,1.001758199166029,280000,2051,13,822.4864888191223,0.0
14,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-1Env-v0/gail,333,28.799651169291927,-0.07901294198460304,0.5865953803062439,0.2239595559067451,0.07830904361147147,-0.07901294198460304,2.393943541477888,,1.0016392043767832,300000,2343,14,898.248904466629,0.0
15,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-1Env-v0/gail,329,44.76673221116954,-0.0614433968726259,0.5029821292712138,0.2501456492031232,0.06121504203153726,-0.0614433968726259,0.7195887867456827,,0.9992713230542648,320000,2600,15,971.3681364059448,0.0
16,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-1Env-v0/gail,326,64.66363186357995,-0.07087157513373173,0.44527044945802446,0.2847204798689255,0.0708079560731466,-0.07087157513373173,1.0084189514319102,,0.9993997322443204,340000,2816,16,1039.8139300346375,0.0
17,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-1Env-v0/gail,324,64.95634019022314,-0.07450516059612616,0.36809154615188255,0.2786858696395006,0.07419230877779998,-0.07450516059612616,0.8085154147484364,,0.9999866793553035,360000,3036,17,1108.4370703697205,0.0
18,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-1Env-v0/gail,322,57.70159294805089,-0.07562769015248005,0.333173807653097,0.2821756380681808,0.07566368839202019,-0.07562769015248005,1.3765577924557222,,1.0005681356558433,380000,3269,18,1178.63019323349,0.0
19,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-1Env-v0/gail,319,40.5632807222646,-0.06597983543880474,0.30619370948809843,0.24228976019299947,0.06590839946308197,-0.06597983543880474,0.5047542503628976,,1.0000739434590706,400000,3546,19,1251.622483253479,0.0
20,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-1Env-v0/gail,317,43.71046336259658,-0.087083249940322,0.280392542691567,0.26208874479127237,0.08730207385543065,-0.087083249940322,1.3320412082549853,,0.9993931969006856,420000,3809,20,1324.6205866336823,0.0
21,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-1Env-v0/gail,313,25.87090605300092,-0.05022597467670074,0.21413392644280044,0.1815266590947524,0.04969865918541566,-0.05022597467670074,2.8416370507998345,,0.9991728950769473,440000,4138,21,1402.3709948062897,0.0
22,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-1Env-v0/gail,311,39.68353296170032,-0.06558181449102285,0.26092238504535115,0.22953464011542307,0.06533608365421877,-0.06558181449102285,1.2363922053422682,,0.9998651506809088,460000,4426,22,1475.5641083717346,0.0
23,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-1Env-v0/gail,310,41.882769602523524,-0.05393040388918076,0.3335023902929746,0.23277999232403743,0.05319696961878202,-0.05393040388918076,0.9865330986487559,,1.000713069545917,480000,4695,23,1548.2090134620667,0.0
24,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-1Env-v0/gail,308,32.86498731177219,-0.05036143558816268,0.3889734823352251,0.20658847221101706,0.04956467371816054,-0.05036143558816268,1.3457626737081088,,0.9989413977433473,500000,4989,24,1623.3116743564606,0.0
25,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-1Env-v0/gail,306,40.53227321937092,-0.04270182946601357,0.41940484906618414,0.2141404010450993,0.0417580409691884,-0.04270182946601357,1.4532343598512503,,1.0006897256160394,520000,5267,25,1698.1515645980835,0.0
26,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-1Env-v0/gail,305,45.50270234871437,-0.06515924366525351,0.4855508702305647,0.2304731499690276,0.06372262705595065,-0.06515924366525351,1.5920521691823617,,1.0012524536786935,540000,5517,26,1769.4298598766327,0.0
27,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-1Env-v0/gail,304,53.929209452459546,-0.05495287453612456,0.49954115935625176,0.23393866600325475,0.05387406726009571,-0.05495287453612456,3.33871704462247,,1.00062044828366,560000,5760,27,1840.6564106941223,0.0
28,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-1Env-v0/gail,303,58.457239843650044,-0.05127656840456602,0.5182085828139231,0.24058358322542447,0.05028042672440792,-0.05127656840456602,8.289903777684922,,1.0003039036805814,580000,5999,28,1912.502759695053,0.0
29,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-1Env-v0/gail,302,56.401143452137106,-0.0757205813167951,0.5376812031635871,0.23644750050436228,0.07478344803437209,-0.0757205813167951,1.5836566111980341,,1.000049166343151,600000,6240,29,1984.1223468780518,0.0
30,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-1Env-v0/gail,301,43.75548412500165,-0.09789083631565938,0.5948403672148019,0.23457780672380557,0.09734577250022154,-0.09789083631565938,3.9489579445276504,,1.0009446918200224,620000,6484,30,2055.1775538921356,0.0
31,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-1Env-v0/gail,300,54.26663699738527,-0.06164258499749196,0.6281603252276396,0.23853469996307142,0.06113211639607564,-0.06164258499749196,1.281090363783714,,0.9997166415819755,640000,6733,31,2128.2105276584625,0.0
32,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-1Env-v0/gail,300,46.61504329434353,-0.07582771356384724,0.6530274475232148,0.23522582491620994,0.0755345725048429,-0.07582771356384724,0.8106255541245143,,1.0006207818404222,660000,6985,32,2199.591812610626,0.0
33,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-1Env-v0/gail,299,53.44561646625877,-0.08705865230697851,0.6300566635070703,0.2353753750713972,0.08680493440001438,-0.08705865230697851,2.7722985692513293,,1.0008486434435233,680000,7226,33,2269.630748271942,0.0
34,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-1Env-v0/gail,299,64.53692224726754,-0.030375645421922972,0.6648984979360532,0.2460866740689828,0.030225786958367397,-0.030375645421922972,5.999395933518043,,1.0000678899196478,700000,7453,34,2337.9678661823273,0.0
35,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-1Env-v0/gail,298,64.40631118492334,-0.08939189566060518,0.6245403030361885,0.2500910669756241,0.08931676797950878,-0.08939189566060518,4.03611618738908,,1.0000240396230649,720000,7677,35,2408.5656599998474,0.0
36,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-1Env-v0/gail,298,62.85681559901989,-0.050261250190818924,0.6409979464916082,0.24043720058905774,0.04998751382988233,-0.050261250190818924,2.8610983362564673,,1.0001062238063567,740000,7894,36,2476.8227019309998,0.0
37,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-1Env-v0/gail,298,53.3782482533385,-0.07287034237136443,0.6264317774619812,0.23599796554981134,0.07294336057339723,-0.07287034237136443,3.3801628531553805,,0.999712197520794,760000,8127,37,2544.349335670471,0.0
38,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-1Env-v0/gail,298,60.57331321663239,-0.040182409378198475,0.6538218906292549,0.2449471241961687,0.03999745820481808,-0.040182409378198475,6.257245955711756,,0.9999907622734706,780000,8352,38,2611.4189808368683,0.0
39,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-1Env-v0/gail,298,75.31442532796441,-0.060688964511530524,0.6247801578197724,0.2542387581215455,0.0605365468810002,-0.060688964511530524,4.403060214947431,,0.9999507682445722,800000,8547,39,2678.839905023575,0.0
40,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-1Env-v0/gail,298,83.14451737768815,-0.06818697896714394,0.5661230253103452,0.2533994936408141,0.06797658164436236,-0.06818697896714394,1.26305879232211,,1.0000310598275601,820000,8732,40,2744.656713962555,0.0
41,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-1Env-v0/gail,298,92.26575750929553,-0.06991167857956428,0.5831369783633794,0.2537088509171437,0.06970700346028957,-0.06991167857956428,4.212115642351982,,1.0002494283975698,840000,8912,41,2809.751844406128,0.0
42,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-1Env-v0/gail,299,86.93210326706466,-0.09935982897877693,0.5506997207418466,0.2613594302191184,0.09902774836772528,-0.09935982897877693,9.851603523890178,,1.0014538981975654,860000,9093,42,2875.1105353832245,0.0
43,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-1Env-v0/gail,299,85.9593622338335,-0.03573537104022809,0.5625132874036447,0.2766952906663601,0.03542788674672827,-0.03573537104022809,2.217919037892268,,0.9989648462870182,880000,9277,43,2940.820794582367,0.0
44,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-1Env-v0/gail,299,88.80947255762554,-0.1252677079481192,0.5739742259948681,0.2705337857015622,0.12511877697438767,-0.1252677079481192,5.108405294785133,,1.0002679868386342,900000,9456,44,3006.358944416046,0.0
45,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-1Env-v0/gail,299,100.86510757404508,-0.08432477451860905,0.5822207095913398,0.27491148758010986,0.08413460021599745,-0.08432477451860905,1.4035542835027743,,0.999739226546043,920000,9625,45,3068.7383880615234,0.0
46,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-1Env-v0/gail,300,110.45544711382354,-0.0976422791202099,0.5692297860215871,0.27675995331926223,0.09772948802281649,-0.0976422791202099,3.37552006030694,,1.000674917911872,940000,9786,46,3130.848461866379,0.0
47,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-1Env-v0/gail,300,116.94230079797796,-0.07676231409303653,0.6082757423321407,0.2917806959878176,0.07659823039594368,-0.07676231409303653,3.417978478700687,,1.0003180120999997,960000,9936,47,3192.384676218033,0.0
48,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-1Env-v0/gail,301,123.50659066423356,-0.10207395031093022,0.5631672664330556,0.27914884292926545,0.10236954870514381,-0.10207395031093022,4.271996306150387,,0.9996556768814723,980000,10089,48,3251.9707005023956,0.0
49,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-1Env-v0/gail,302,141.42013211693572,-0.07035457030034219,0.45897688613488125,0.28705161708669785,0.0697635065859709,-0.07035457030034219,1.4072494404438214,,1.0012354638331975,1000000,10229,49,3309.663752555847,0.0
50,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-1Env-v0/gail,302,143.231749880175,-0.06438421717821023,0.43338959320233417,0.28163413050083014,0.0643192933490261,-0.06438421717821023,1.2368316158270225,,1.000186009131945,1020000,10367,50,3368.324009656906,0.0
