,log_dir,frame_per_second,episode_reward,total_steps,total_episodes,total_time,target_q,actor_loss,critic_loss,success_rate
0,MetaDrive-Tut-50Env-v0,575,11.349502084174292,2001,2,3.4798364639282227,,,,0.0
1,MetaDrive-Tut-50Env-v0,577,11.72368417919643,3002,3,5.195826053619385,,,,0.0
2,MetaDrive-Tut-50Env-v0,539,7.77261201303002,5001,6,9.262921810150146,,,,0.0
3,MetaDrive-Tut-50Env-v0,533,8.275202522097254,6002,7,11.256911754608154,,,,0.0
4,MetaDrive-Tut-50Env-v0,512,8.965885406383611,7003,8,13.664573431015015,,,,0.0
5,MetaDrive-Tut-50Env-v0,504,8.947876887697442,8004,9,15.872461557388306,,,,0.0
6,MetaDrive-Tut-50Env-v0,513,9.118334740934335,9005,10,17.525019884109497,,,,0.0
7,MetaDrive-Tut-50Env-v0,509,9.235608720401958,10006,11,19.625924348831177,0.008935278281569481,,0.0015078107826411724,0.0
8,MetaDrive-Tut-50Env-v0,348,5.561150698413522,11027,42,31.608157634735107,0.16255557537078857,-0.1543225347995758,0.025742286816239357,0.0
9,MetaDrive-Tut-50Env-v0,282,6.549922342611308,12013,69,42.59932231903076,0.31786906719207764,-0.34806573390960693,0.03452754020690918,0.0
10,MetaDrive-Tut-50Env-v0,242,8.11698550501589,13009,93,53.632174491882324,0.5517071485519409,-0.6383485794067383,0.8175686597824097,0.0
11,MetaDrive-Tut-50Env-v0,214,10.81631548721947,14019,114,65.31024122238159,0.8309853076934814,-0.862591564655304,0.8711264729499817,0.0
12,MetaDrive-Tut-50Env-v0,200,13.853750345545022,15033,136,74.98281073570251,1.307856798171997,-1.4704428911209106,1.7880604267120361,0.0
13,MetaDrive-Tut-50Env-v0,191,18.673851436900904,16067,154,83.89916276931763,1.6972708702087402,-1.8398340940475464,3.3433215618133545,0.0
14,MetaDrive-Tut-50Env-v0,184,22.115691649391415,17012,170,92.32202124595642,2.3387787342071533,,0.9612917304039001,0.0
15,MetaDrive-Tut-50Env-v0,178,24.585278381877323,18049,189,101.03145122528076,3.254791736602783,-3.2825982570648193,0.8894962072372437,0.0
16,MetaDrive-Tut-50Env-v0,174,31.288661407226318,19105,202,109.7655553817749,3.817031145095825,-3.993922233581543,0.8269308805465698,0.0
17,MetaDrive-Tut-50Env-v0,170,34.88919261464686,20007,214,117.07126426696777,4.368642330169678,-4.360893249511719,5.853006839752197,0.0
18,MetaDrive-Tut-50Env-v0,167,41.57407309087932,21028,225,125.5606336593628,5.681825637817383,,3.3934805393218994,0.0
19,MetaDrive-Tut-50Env-v0,165,48.164092660495264,22011,237,132.74708795547485,6.547989845275879,-6.707657814025879,2.8296899795532227,0.0
20,MetaDrive-Tut-50Env-v0,163,53.75321426974742,23025,248,140.60784721374512,7.423015594482422,-8.047351837158203,2.1633260250091553,0.0
21,MetaDrive-Tut-50Env-v0,161,61.842089268938416,24044,257,148.7811427116394,8.336329460144043,,12.818617820739746,0.0
22,MetaDrive-Tut-50Env-v0,159,68.49653931060237,25084,268,157.49077486991882,9.618374824523926,,5.5160231590271,0.0
23,MetaDrive-Tut-50Env-v0,156,75.12052722911736,26098,279,166.56763815879822,9.810949325561523,,4.685993671417236,0.0
24,MetaDrive-Tut-50Env-v0,155,81.05417970006889,27034,289,174.37653708457947,11.710738182067871,,4.184394359588623,0.0
25,MetaDrive-Tut-50Env-v0,153,83.81758778956862,28037,300,182.63707423210144,12.47287368774414,-13.01990032196045,1.2790684700012207,0.0
26,MetaDrive-Tut-50Env-v0,152,86.41755387255286,29069,311,190.9758551120758,12.943510055541992,-13.668054580688477,13.288556098937988,0.0
27,MetaDrive-Tut-50Env-v0,150,90.2942609972388,30017,320,198.97227382659912,13.572494506835938,-14.106775283813477,7.229753494262695,0.0
28,MetaDrive-Tut-50Env-v0,149,93.86466947443363,31016,330,207.0766625404358,15.128064155578613,,14.147645950317383,0.0
29,MetaDrive-Tut-50Env-v0,148,96.4651770191748,32109,340,216.83202743530273,16.57630729675293,-16.838468551635742,15.01132869720459,0.0
30,MetaDrive-Tut-50Env-v0,147,98.80328325685048,33037,349,224.38924098014832,17.443082809448242,-17.7998104095459,11.626609802246094,0.0
31,MetaDrive-Tut-50Env-v0,146,100.14199310531947,34062,358,232.96905732154846,18.089801788330078,,8.627276420593262,0.0
32,MetaDrive-Tut-50Env-v0,145,99.8339959431846,35052,368,241.11828708648682,20.02430534362793,,3.787653684616089,0.0
33,MetaDrive-Tut-50Env-v0,144,100.49966606537758,36092,379,249.30920386314392,20.174560546875,,15.11617660522461,0.0
34,MetaDrive-Tut-50Env-v0,142,102.34021963450805,37141,389,260.3016834259033,20.375812530517578,-20.89302635192871,14.681812286376953,0.0
35,MetaDrive-Tut-50Env-v0,140,103.68091316660761,38048,398,271.34520053863525,21.874961853027344,,11.848451614379883,0.0
36,MetaDrive-Tut-50Env-v0,139,107.22764290980825,39087,407,281.11597871780396,22.309383392333984,-22.888587951660156,10.187061309814453,0.0
37,MetaDrive-Tut-50Env-v0,138,110.62713664501734,40086,416,289.3156547546387,24.292917251586914,,9.67384147644043,0.0
38,MetaDrive-Tut-50Env-v0,137,109.12518391423347,41086,425,297.9279294013977,22.414730072021484,,13.640076637268066,0.0
39,MetaDrive-Tut-50Env-v0,137,112.1421056923619,42141,434,307.088143825531,25.25480079650879,-25.325206756591797,10.851033210754395,0.0
40,MetaDrive-Tut-50Env-v0,136,113.15265224729477,43065,442,315.33353567123413,25.26101303100586,-25.42523956298828,28.311983108520508,0.0
41,MetaDrive-Tut-50Env-v0,136,114.28372345660871,44026,450,323.15472531318665,25.717914581298828,,14.34890079498291,0.0
42,MetaDrive-Tut-50Env-v0,135,114.7019882047679,45020,458,331.4114475250244,27.368335723876953,,9.150030136108398,0.0
43,MetaDrive-Tut-50Env-v0,135,117.62934530174114,46111,467,340.4551820755005,28.96414566040039,-28.82588768005371,3.7180347442626953,0.0
44,MetaDrive-Tut-50Env-v0,135,121.13504462131894,47084,475,348.08976697921753,29.44462013244629,,16.16582489013672,0.01
45,MetaDrive-Tut-50Env-v0,135,123.12960302087268,48067,484,355.52272725105286,28.69091796875,-29.054115295410156,5.380054473876953,0.01
46,MetaDrive-Tut-50Env-v0,134,122.33395530058408,49047,493,364.1184320449829,28.040267944335938,-28.102333068847656,7.009091377258301,0.01
47,MetaDrive-Tut-50Env-v0,134,121.25143460088977,50056,503,372.71934247016907,30.38228988647461,,18.993988037109375,0.01
48,MetaDrive-Tut-50Env-v0,134,122.55843901683184,51087,511,380.6895217895508,31.663009643554688,-31.849288940429688,11.87852668762207,0.01
49,MetaDrive-Tut-50Env-v0,134,122.78791817811282,52063,519,388.0578467845917,29.907846450805664,-30.388208389282227,34.53650665283203,0.01
50,MetaDrive-Tut-50Env-v0,134,123.3325390709735,53020,527,395.4115047454834,32.8829345703125,,6.462505340576172,0.01
51,MetaDrive-Tut-50Env-v0,134,121.85732769397215,54172,537,404.22854375839233,34.286033630371094,,14.279301643371582,0.01
52,MetaDrive-Tut-50Env-v0,133,119.80700327370431,55105,546,411.6763858795166,34.2905387878418,-34.821598052978516,8.584182739257812,0.01
53,MetaDrive-Tut-50Env-v0,133,115.79071789653057,56016,555,420.1482491493225,33.869300842285156,,15.38439655303955,0.01
