,log_dir,frame_per_second,episode_reward,policy_loss,entropy,value_loss,total_loss,grad_norm,adv_mean,ratio,total_steps,total_episodes,iteration,total_time,success_rate
0,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-100Env-v0/ppo,515,6.905704103723123,-0.0067529370787386325,2.7947793373694787,0.05248677549250901,0.04573383845884401,1.0063000313746624,0.18117655813694,1.0003917582524129,20000,18,0,38.832143783569336,0.0
1,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-100Env-v0/ppo,498,9.728724174205125,-0.008381102389942567,2.766708629253583,0.07335586891485713,0.06497476649148247,1.2047813709538717,0.2220253348350525,1.0006107133932602,40000,47,1,80.28054189682007,0.0
2,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-100Env-v0/ppo,490,12.967422731397553,-0.010991938607110523,2.6659022548259834,0.09067479309458763,0.07968285462001147,1.4713652981206393,0.3404502272605896,0.9998259392304298,60000,73,2,122.4039056301117,0.0
3,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-100Env-v0/ppo,481,15.19356306375794,-0.009391976121622018,2.598085886087173,0.2512634357246451,0.24187145945854868,1.7444405063604698,0.3759348392486572,0.9981233161993516,80000,107,3,166.200617313385,0.0
4,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-100Env-v0/ppo,463,17.450284024297893,-0.0064141712226093005,2.4673685397857277,0.5334756562725091,0.527061487452533,2.1683679092006805,0.5482671856880188,1.0000626768057164,100000,158,4,215.69978070259094,0.0
5,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-100Env-v0/ppo,451,20.01938617709359,-0.007015346119013161,2.3899474412967,0.7776960396995911,0.7706806934032685,2.6828894867346835,0.7193285226821899,1.0004042295309215,120000,219,5,265.9432065486908,0.0
6,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-100Env-v0/ppo,439,26.093435174043066,-0.00777209860821947,2.288795917156415,1.465340066032532,1.4575679663664256,3.5245098639757204,1.09602952003479,1.0000226028454609,140000,295,6,318.84780502319336,0.0
7,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-100Env-v0/ppo,424,33.49546098389475,-0.0067935218539041204,2.2279631244830598,2.32743367033127,2.320640153762622,4.752577753708913,1.552545189857483,1.0010605295499166,160000,379,7,377.03967785835266,0.0
8,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-100Env-v0/ppo,416,38.97783568144914,-0.007788250211459131,2.1487370973978286,3.219909726962065,3.2121214748957216,6.7651557149031225,1.7578421831130981,0.9994483842299535,180000,462,8,432.36409544944763,0.0
9,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-100Env-v0/ppo,408,50.783174068161955,-0.0077203164802482115,2.0102619418731105,5.62221376987604,5.614493451057336,10.875635236501694,2.7599706649780273,0.9988940907594485,200000,556,9,489.8002784252167,0.0
10,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-100Env-v0/ppo,403,74.36145171083643,-0.004501821233246189,1.9350080569585164,8.50150673144903,8.497004896555191,16.255351130778973,3.34083890914917,1.0005424339037674,220000,654,10,545.0149450302124,0.0
11,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-100Env-v0/ppo,401,104.98011102997134,-0.0032747343140773666,1.8823704364972236,11.53119681126032,11.527922076445359,26.902579999581363,4.608528137207031,0.9994355560113222,240000,733,11,597.6999480724335,0.01
12,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-100Env-v0/ppo,399,111.50828935641161,-0.0030317799397147236,1.8012455383936563,17.370615871136007,17.367584122144258,42.519307169547446,4.323089122772217,1.0000653782716165,260000,823,12,650.0338883399963,0.02
13,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-100Env-v0/ppo,396,105.64635661729766,-0.004460955442836843,1.7129066510078235,23.933281053640904,23.928820043955096,55.72364399494269,4.144827842712402,0.9997535593234576,280000,930,13,706.9502742290497,0.01
14,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-100Env-v0/ppo,389,89.13769429104383,-0.006753873314039829,1.6474547346433004,35.35925023739154,35.35249644059401,84.60193146314377,2.5857415199279785,0.9990121848308123,300000,1063,14,769.695059299469,0.0
15,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-100Env-v0/ppo,386,107.65893216408759,-0.003415116863564039,1.5658980002770058,37.92190405527751,37.91848894265982,108.32777740771954,3.006537914276123,0.9999616805559549,320000,1182,15,827.8445899486542,0.0
16,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-100Env-v0/ppo,384,114.29134239533613,-0.002390680623312409,1.4622743076238878,40.29470687034802,40.29231607241508,127.9371887304844,3.0086889266967773,0.9993342255934691,340000,1305,16,884.0091514587402,0.01
17,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-100Env-v0/ppo,382,120.89461434926434,-0.003769348738476252,1.4540510269311757,44.1624607135088,44.15869122529641,150.045555021824,2.4595370292663574,0.9990336524370389,360000,1426,17,940.7987349033356,0.0
