,log_dir,frame_per_second,episode_reward,policy_loss,entropy,discriminator_loss,gail_reward,total_loss,grad_norm,adv_mean,ratio,total_steps,total_episodes,iteration,total_time,success_rate
0,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-10Env-v0/gail,570,9.372807818257801,-0.041970413930427566,2.759250182677538,0.45186631379601283,0.03665936215279194,-0.041970413930427566,0.38398640675422474,,1.0000365112836545,20000,15,0,35.0835018157959,0.0
1,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-10Env-v0/gail,557,12.860438157685863,-0.030015427698023043,2.6628006831193582,0.0814972841921143,0.026765261745701232,-0.030015427698023043,0.8586692578517474,,0.9984298917727593,40000,41,1,71.80104327201843,0.0
2,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-10Env-v0/gail,546,15.35363705512785,-0.01946005940867158,2.5754148131761796,0.0765049255787371,0.017642881726034176,-0.01946005940867158,0.7176073542008033,,0.9980769301072145,60000,75,2,109.72753477096558,0.0
3,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-10Env-v0/gail,539,20.809978786040414,-0.018745661517366386,2.467771550325247,0.08510187335360127,0.0172368905113007,-0.018745661517366386,0.13989770909150442,,1.002413329634911,80000,115,3,148.38422846794128,0.0
4,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-10Env-v0/gail,518,16.05596436131364,-0.028842246604080385,2.3172986690814676,0.08354629182423919,0.026828911535155316,-0.028842246604080385,1.3511913122274937,,1.0005490491787592,100000,213,4,192.6867015361786,0.0
5,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-10Env-v0/gail,492,13.212121005437348,-0.07676165879536898,2.103167511866643,0.09569918310795075,0.07177503011070001,-0.07676165879536898,4.083052630302234,,1.0007213766758258,120000,379,5,243.6154646873474,0.0
6,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-10Env-v0/gail,467,12.79832239560567,-0.024961219162035447,1.9157427462247703,0.10774346618220593,0.02337499523583131,-0.024961219162035447,2.2622433023575024,,1.0016921397967216,140000,593,6,299.71503615379333,0.0
7,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-10Env-v0/gail,440,8.685401840287678,-0.020931409870107203,1.7126701411528464,0.11969269250925535,0.019790683859863725,-0.020931409870107203,0.29846733311812085,,0.9984370444829648,160000,884,7,363.421603679657,0.0
8,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-10Env-v0/gail,421,13.912630197207568,-0.042046553331116836,1.514127036394217,0.15790935546541826,0.04056241643161346,-0.042046553331116836,1.7330553994728968,,0.9980558237204185,180000,1185,8,427.52436900138855,0.0
9,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-10Env-v0/gail,404,11.892926416714307,-0.04994567205221989,1.345637856079982,0.17020002046647745,0.04834042815730358,-0.04994567205221989,1.0546896303311373,,1.0016492632719187,200000,1526,9,494.6029055118561,0.0
10,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-10Env-v0/gail,394,25.925061052552643,-0.05688732219143556,1.1964023149930514,0.220606554309145,0.05576728554203724,-0.05688732219143556,4.318382383004213,,1.0000400548562025,220000,1816,10,557.7655856609344,0.0
11,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-10Env-v0/gail,384,23.252724129883074,-0.08065664169306938,1.0032542271491809,0.241198757233528,0.07955417179812987,-0.08065664169306938,1.8837714860072503,,0.9991464867805824,240000,2143,11,624.8178098201752,0.0
12,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-10Env-v0/gail,375,32.25423020930043,-0.06940120436155643,0.8151482400985864,0.26525234667918623,0.06861258757611116,-0.06940120436155643,1.3460173519758079,,1.0016403269309264,260000,2451,12,691.5384066104889,0.0
13,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-10Env-v0/gail,369,28.75102179393626,-0.07207745844737078,0.7219180207221936,0.2629277609670774,0.0715434506869851,-0.07207745844737078,1.7613630909186142,,1.0001458377410204,280000,2758,13,758.2017469406128,0.0
14,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-10Env-v0/gail,365,37.460395716059296,-0.08341687611089303,0.6064054161310196,0.2787220195699961,0.08261460661888123,-0.08341687611089303,2.7916110264949308,,1.0020019554939026,300000,3032,14,821.3044219017029,0.0
15,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-10Env-v0/gail,361,41.86590331141165,-0.06807805121613619,0.5032191463387929,0.27608780163602953,0.06723684448844347,-0.06807805121613619,0.4791155777680568,,1.0004022051126529,320000,3304,15,884.0237081050873,0.0
16,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-10Env-v0/gail,357,31.727163514065058,-0.06554417136865548,0.44758152610216384,0.26785052659419867,0.06532851651501961,-0.06554417136865548,1.2623993199605208,,1.0006805764558988,340000,3629,16,951.5995633602142,0.0
