,log_dir,frame_per_second,episode_reward,policy_loss,entropy,discriminator_loss,gail_reward,total_loss,grad_norm,adv_mean,ratio,total_steps,total_episodes,iteration,total_time,success_rate
0,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-50Env-v0/gail,521,12.011886401085972,-0.04472159910469483,2.759890244862972,0.4471770472776813,0.03907205989966408,-0.04472159910469483,0.7522484767895479,,0.9999269563418168,20000,11,0,38.36605215072632,0.0
1,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-50Env-v0/gail,513,13.816094713739101,-0.01779034075518258,2.6672709287741245,0.07364163456054834,0.01580715832682565,-0.01779034075518258,0.51367969925587,,0.9983922007756355,40000,38,1,77.88284254074097,0.0
2,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-50Env-v0/gail,493,15.652429914479892,-0.01598450445379011,2.5974610686302184,0.07139239901055892,0.014492346714131342,-0.01598450445379011,0.1751603418435806,,0.9985065244711362,60000,75,2,121.49074721336365,0.0
3,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-50Env-v0/gail,468,15.855602229750874,-0.023091448586768447,2.5306632072497637,0.07468821758356614,0.021263203323365024,-0.023091448586768447,0.5240009078612694,,1.0024422313158328,80000,137,3,170.65380787849426,0.0
4,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-50Env-v0/gail,443,13.60407125292327,-0.024003827110983623,2.466248296163021,0.0862830700710989,0.022738142137248545,-0.024003827110983623,0.738724213762161,,0.9997479666502048,100000,242,4,225.4731125831604,0.0
5,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-50Env-v0/gail,415,13.617461840893993,-0.04455539111334544,2.4049778705988176,0.09158642828368987,0.04337150699053055,-0.04455539111334544,0.5142336055636406,,1.0011883041033378,120000,405,5,289.09197211265564,0.0
6,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-50Env-v0/gail,392,12.989756965369219,-0.020240414928262816,2.325320654343336,0.10282874731108164,0.019980263421073174,-0.020240414928262816,1.8530407549479069,,1.0005156747041604,140000,618,6,356.24389934539795,0.0
7,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-50Env-v0/gail,372,5.235898263884973,-0.016005322757439735,2.196098116727976,0.09935080038192562,0.016009026609408932,-0.016005322757439735,0.6384993319328015,,0.9983972252943577,160000,936,7,429.5242691040039,0.0
8,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-50Env-v0/gail,358,5.117133964899958,-0.020744851398735473,2.0639205059944055,0.10342476886147872,0.02062366745219781,-0.020744851398735473,0.9926594510292396,,0.9983733553152818,180000,1301,8,502.47437953948975,0.0
9,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-50Env-v0/gail,348,5.89413169879899,-0.03105608537697639,1.9354504706003728,0.10653742949167887,0.03069586255468237,-0.03105608537697639,1.5794340793903057,,1.0015957798713293,200000,1652,9,574.5141067504883,0.0
10,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-50Env-v0/gail,342,13.019726994947584,-0.02476180436519476,1.7716533277279292,0.12901912524054449,0.024409259889179316,-0.02476180436519476,2.7362752804389365,,0.9987577819671386,220000,1970,10,643.0060606002808,0.0
11,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-50Env-v0/gail,334,5.971028039396717,-0.04383206230898698,1.6304271668959887,0.11940367529407525,0.04283094657823826,-0.04383206230898698,3.957834835235889,,0.999125420435881,240000,2386,11,716.8373103141785,0.0
12,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-50Env-v0/gail,329,10.100939475279969,-0.02508003208786249,1.4515614884021955,0.146557773458652,0.024791102388348335,-0.02508003208786249,1.253617599224433,,1.0005580498622013,260000,2773,12,789.3291699886322,0.0
13,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-50Env-v0/gail,325,10.523506845209926,-0.05087564021635514,1.2897216964990665,0.17413258854395303,0.05061413540194432,-0.05087564021635514,0.3820639912134562,,1.0006515904114797,280000,3158,13,861.4062292575836,0.0
14,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-50Env-v0/gail,319,6.691445356635097,-0.03126283443938845,1.1586233851237175,0.14453565211823352,0.03094840589671945,-0.03126283443938845,3.1814703736549768,,0.9996951467715777,300000,3615,14,939.1488287448883,0.0
15,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-50Env-v0/gail,316,12.147938295072832,-0.04860048468869466,1.0507524786087183,0.18708044849336147,0.048097174843916526,-0.04860048468869466,1.8739700639859225,,1.000104516515365,320000,4006,15,1011.1733376979828,0.0
16,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-50Env-v0/gail,311,5.550072993258215,-0.024636723967985465,1.0172324631458673,0.12466593215194269,0.024349705330454385,-0.024636723967985465,1.115009794326929,,0.998984373991306,340000,4497,16,1091.5996787548065,0.0
17,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-50Env-v0/gail,307,8.311046664523783,-0.03388241196337801,0.8947329624341085,0.17261831230269029,0.03361092999052161,-0.03388241196337801,2.0811559435648794,,1.000212324124116,360000,4962,17,1170.3660337924957,0.0
18,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-50Env-v0/gail,304,12.326446813115847,-0.035905406671838884,0.7380109953574645,0.19330717509564682,0.03567013770867235,-0.035905406671838884,1.261908717186023,,1.000440212778556,380000,5398,18,1246.9368686676025,0.0
19,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-50Env-v0/gail,301,6.071738307215647,-0.035627177694382575,0.7179292700229547,0.1580260101132668,0.03552744538308336,-0.035627177694382575,0.4815446210595278,,0.9988678952058156,400000,5899,19,1328.615693807602,0.0
20,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-50Env-v0/gail,298,9.883931684158526,-0.051152003260377124,0.6746591053712062,0.17266641891537568,0.05079360109491226,-0.051152003260377124,4.525654652179816,,1.0003297001123428,420000,6368,20,1408.4037671089172,0.0
21,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-50Env-v0/gail,295,8.473445826657386,-0.044557796853284044,0.6017091808028711,0.17270125097189193,0.0441942617106132,-0.044557796853284044,1.678314208984375,,1.0015392889579138,440000,6863,21,1490.118227481842,0.0
22,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-50Env-v0/gail,293,14.649567744119889,-0.05442798092770271,0.5256630396231626,0.22235524545495328,0.0540954858255692,-0.05442798092770271,0.8546697059502968,,1.00204693094278,460000,7286,22,1566.165465593338,0.0
23,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-50Env-v0/gail,292,13.929056441155005,-0.03959103694949777,0.49771211372736174,0.20858448872772548,0.03937268814024253,-0.03959103694949777,1.2634798881335136,,0.999504621900045,480000,7726,23,1642.7987875938416,0.0
