,log_dir,frame_per_second,episode_reward,policy_loss,entropy,value_loss,total_loss,grad_norm,adv_mean,ratio,total_steps,total_episodes,iteration,total_time,success_rate
0,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-50Env-v0/ppo,540,8.477898504791884,-0.00863978952372399,2.8157505674239918,0.04184268823562142,0.033202898386830035,0.8829557180213623,0.19524133205413818,1.0003275559498714,20000,16,0,37.00633192062378,0.0
1,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-50Env-v0/ppo,522,10.180952775714797,-0.009019178578045028,2.7595666212913317,0.06319954283774282,0.054180364195221604,1.1533582057135228,0.23156028985977173,1.0005940201954964,40000,42,1,76.57075214385986,0.0
2,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-50Env-v0/ppo,505,11.464091724600163,-0.007639254738266269,2.678248629814539,0.14856775418067208,0.14092849928181236,1.2814191232698087,0.2834155261516571,0.9998842690999691,60000,73,2,118.80344462394714,0.0
3,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-50Env-v0/ppo,487,14.354183757307265,-0.009075368982620347,2.5759497764783026,0.2030751285978999,0.19399975861739127,1.4963247787493925,0.37355706095695496,0.997972822189331,80000,105,3,163.99992275238037,0.0
4,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-50Env-v0/ppo,472,18.92081273409782,-0.00832927916258669,2.47748154707444,0.404363604902457,0.3960343261118023,1.8955453821863884,0.5508760809898376,1.0000288068484038,100000,148,4,211.8303484916687,0.0
5,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-50Env-v0/ppo,458,22.985818899590896,-0.008758419068554082,2.411330325786884,0.7929199941265277,0.784161576628685,2.4245126141187474,0.7647952437400818,1.0003720278159165,120000,203,5,261.6367075443268,0.0
6,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-50Env-v0/ppo,438,16.05785281726738,-0.006781023293614196,2.3358497919180454,1.608565640831605,1.6017846204531498,3.436409806058957,0.744411826133728,1.0004235733013886,140000,308,6,319.4109501838684,0.0
7,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-50Env-v0/ppo,428,31.12185803585917,-0.008339788453677334,2.2394672500781523,2.0811127269879366,2.07277293854799,5.124376760614224,1.4930431842803955,1.0016086120636036,160000,386,7,373.29165410995483,0.0
8,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-50Env-v0/ppo,421,38.0608993761604,-0.009342716126822127,2.1046982465646207,3.3160442118461315,3.306701486538618,8.50654544616357,1.8993253707885742,1.0003392508396736,180000,485,8,427.20920729637146,0.0
9,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-50Env-v0/ppo,418,57.867306024082865,-0.007100783822795329,2.0152360662435873,4.671889599775657,4.664788811940413,12.757769269515306,2.6445088386535645,0.998411220847032,200000,563,9,477.9813871383667,0.0
10,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-50Env-v0/ppo,414,77.48223454518035,-0.005083176319917234,1.9013630863947746,8.894325220279205,8.889242031635382,17.694427418097472,3.3853936195373535,1.0005302964876859,220000,657,10,531.1335496902466,0.0
11,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-50Env-v0/ppo,411,92.52738111265646,-0.0048701510582572945,1.8551017489188757,10.614897143535124,10.610026973944445,25.401501751557376,3.7871646881103516,0.9993628190113948,240000,742,11,583.2847766876221,0.01
12,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-50Env-v0/ppo,411,116.65137967600548,-0.004009994880582851,1.7914799804870898,14.224682357983712,14.220672384286539,31.647935191790264,3.91302490234375,0.9995354000574503,260000,822,12,632.2060952186584,0.03
13,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-50Env-v0/ppo,409,122.616581648775,-0.0016228563343294155,1.7324492844251487,18.892569456344997,18.890946600987363,45.82201806276272,3.829996109008789,0.9994754705673609,280000,911,13,683.1982116699219,0.02
14,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-50Env-v0/ppo,409,138.89909750776891,-0.0035509683848478093,1.714864461697065,20.714927905645126,20.711376925003833,59.347986970803674,3.668433427810669,0.9993585500197533,300000,988,14,732.8472988605499,0.05
15,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-50Env-v0/ppo,408,153.42593498052352,-0.0036592783412346857,1.6064618511077686,28.031340394875944,28.027681102508154,80.63216702387884,3.9734432697296143,1.000903649819203,320000,1073,15,783.2308809757233,0.06
16,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-50Env-v0/ppo,407,127.36665802043859,-0.0024996220325239193,1.5647864578626094,35.87163036297529,35.8691307581388,92.86076406821226,2.5613982677459717,1.0004579136768976,340000,1172,16,834.437287569046,0.01
17,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-50Env-v0/ppo,406,140.7982594394804,-0.0028739391109691217,1.510000523695579,38.116299812610336,38.11342571943234,106.69972581129808,3.1355831623077393,1.0003080795972774,360000,1265,17,884.7872500419617,0.03
18,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-50Env-v0/ppo,405,132.2142149905067,-0.002048127389011475,1.418206996948291,45.04893827682886,45.046890151195036,144.29288949232836,2.339282751083374,1.0001475461018392,380000,1374,18,936.4849445819855,0.0
19,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-50Env-v0/ppo,405,146.46508849938115,-0.0023905176466378648,1.3492349543632605,44.27394729027381,44.27155675398998,155.10692742665609,2.936927556991577,0.9989259049678461,400000,1478,19,986.6378519535065,0.01
20,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-50Env-v0/ppo,403,141.16163280440693,-0.0012344542843026993,1.3174675446290236,45.70554680457482,45.70431247368837,183.8101136672191,2.091580629348755,0.9994019224857673,420000,1591,20,1040.5412819385529,0.0
21,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-50Env-v0/ppo,402,125.42951690734462,-0.0012895167638093997,1.2819925352548942,51.485497129880464,51.484207622821515,229.80857441730987,1.0564738512039185,0.9995102937404926,440000,1714,21,1093.02486038208,0.01
22,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-50Env-v0/ppo,402,154.1443899480293,-0.0006599114055578143,1.3137561235672388,42.35425778902494,42.35359779993693,233.31802554986416,2.140983819961548,0.9999443028981869,460000,1822,22,1144.234162569046,0.03
23,/voyager/projects/jacobyhsi/assignment-2022fall/assignment3/MetaDrive-Tut-50Env-v0/ppo,401,127.87439192938162,0.0010145125803179467,1.2346543237184866,47.71506391182924,47.716078288738544,281.6750834929637,1.0307321548461914,1.0004071660530873,480000,1945,23,1196.6661324501038,0.01
