,log_dir,frame_per_second,episode_reward,total_steps,total_episodes,total_time,target_q,actor_loss,critic_loss,success_rate
0,MetaDrive-Tut-1Env-v0,363,4.685097036144128,1455,2,4.0010387897491455,,,,0.0
1,MetaDrive-Tut-1Env-v0,366,6.5095780707859605,2456,3,6.701018810272217,,,,0.0
2,MetaDrive-Tut-1Env-v0,366,5.702399563287339,3709,5,10.128968954086304,,,,0.0
3,MetaDrive-Tut-1Env-v0,364,6.550075084369435,4710,6,12.9196195602417,,,,0.0
4,MetaDrive-Tut-1Env-v0,357,7.478136738945002,5711,7,15.99458622932434,,,,0.0
5,MetaDrive-Tut-1Env-v0,353,8.120705869075081,6712,8,19.000048637390137,,,,0.0
6,MetaDrive-Tut-1Env-v0,350,7.840930290395363,7532,9,21.48085355758667,,,,0.0
7,MetaDrive-Tut-1Env-v0,353,8.067168860618258,8533,10,24.13338589668274,,,,0.0
8,MetaDrive-Tut-1Env-v0,359,7.694573887314618,9983,12,27.77567958831787,,,,0.0
9,MetaDrive-Tut-1Env-v0,351,8.125635261457623,10069,13,28.622745752334595,-0.0007882211357355118,-0.0012674459721893072,0.2019236981868744,0.0
10,MetaDrive-Tut-1Env-v0,289,2.429848157504976,11001,42,38.04814648628235,0.06723511964082718,-0.0707702711224556,0.21745368838310242,0.0
11,MetaDrive-Tut-1Env-v0,250,0.8740192644131133,12035,75,48.02063345909119,0.0797378346323967,-0.10685862600803375,0.38633108139038086,0.0
12,MetaDrive-Tut-1Env-v0,228,-0.278685096215831,13011,103,56.97110605239868,0.12238472700119019,-0.18029563128948212,0.24551796913146973,0.0
13,MetaDrive-Tut-1Env-v0,209,-1.982565356868951,14025,132,66.85487270355225,0.09554581344127655,-0.1613525152206421,0.05628334730863571,0.0
14,MetaDrive-Tut-1Env-v0,197,-2.54959639383023,15003,160,75.95379161834717,0.0573619082570076,-0.06226962432265282,0.05237380042672157,0.0
15,MetaDrive-Tut-1Env-v0,181,-2.660833802380584,16911,187,92.9922251701355,0.03357763588428497,-0.05683852732181549,0.01317492127418518,0.0
16,MetaDrive-Tut-1Env-v0,178,-2.660062218853351,17912,188,100.23042321205139,-0.002779059112071991,,0.01237567886710167,0.0
17,MetaDrive-Tut-1Env-v0,177,-2.692658544224926,18219,189,102.73570513725281,0.04586096107959747,-0.114300936460495,0.010767973028123379,0.0
18,MetaDrive-Tut-1Env-v0,174,-2.765966968085331,19054,191,109.11739921569824,0.055506784468889236,,0.010155461728572845,0.0
19,MetaDrive-Tut-1Env-v0,172,-2.7792602477216657,20055,192,116.51077151298523,0.0965995043516159,-0.1284157782793045,0.007457984611392021,0.0
20,MetaDrive-Tut-1Env-v0,170,-2.791362979482591,21056,193,123.77226376533508,0.019461143761873245,,0.22475861012935638,0.0
21,MetaDrive-Tut-1Env-v0,167,-2.7358794991945534,22057,194,131.5214557647705,0.09928898513317108,-0.16772343218326569,0.01007925532758236,0.0
22,MetaDrive-Tut-1Env-v0,165,-2.664416295054117,23058,195,138.94974064826965,0.21533295512199402,,0.007291780784726143,0.0
23,MetaDrive-Tut-1Env-v0,165,-2.6000125129155016,24059,196,145.38124251365662,0.28626853227615356,-0.3466130793094635,0.005582564510405064,0.0
24,MetaDrive-Tut-1Env-v0,165,-2.533979486811288,25060,197,151.7738800048828,0.35045284032821655,,0.009642002172768116,0.0
25,MetaDrive-Tut-1Env-v0,163,-2.4663996081604513,26061,198,159.08373951911926,0.3720691502094269,-0.45878738164901733,0.00871588010340929,0.0
26,MetaDrive-Tut-1Env-v0,161,-2.2914017735654832,27845,201,172.05620646476746,0.5134373903274536,-0.586663007736206,0.023311130702495575,0.0
27,MetaDrive-Tut-1Env-v0,161,-1.7207969686110267,28024,203,173.61998009681702,0.45967838168144226,,0.008701851591467857,0.0
28,MetaDrive-Tut-1Env-v0,158,1.7599088582323923,29028,218,183.42887806892395,0.6558708548545837,,0.03681690990924835,0.0
29,MetaDrive-Tut-1Env-v0,155,5.125359063339365,30071,237,193.9986653327942,0.8013726472854614,-0.9609177112579346,0.35169756412506104,0.0
30,MetaDrive-Tut-1Env-v0,151,9.209691736423778,31074,250,204.44705486297607,1.1729270219802856,,0.42116469144821167,0.0
31,MetaDrive-Tut-1Env-v0,149,14.780618746257625,32080,260,214.24852871894836,1.593531608581543,,0.061398278921842575,0.0
32,MetaDrive-Tut-1Env-v0,147,18.8298508698424,33047,270,223.47735834121704,1.867592215538025,-1.984493374824524,0.06419659405946732,0.0
33,MetaDrive-Tut-1Env-v0,146,23.227001562183318,34016,278,232.1727797985077,2.2903759479522705,,0.07397374510765076,0.0
34,MetaDrive-Tut-1Env-v0,144,30.86538414247244,35320,287,243.85751748085022,2.9783105850219727,,0.13574758172035217,0.0
